tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1416,23:45.5,47:22.5,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,26431,Subscriber,1974,1
1418,25:33.5,49:11.9,3220,5 Corners Library,40.73496102,-74.05950308,3281,Leonard Gordon Park,40.74590997,-74.05727148,42121,Customer,1989,0
3389,26:39.4,23:09.2,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42392,Subscriber,1980,1
1479,29:39.9,54:19.7,3681,Grand St,40.71517768,-74.03768331,3184,Paulus Hook,40.7141454,-74.0335519,42114,Subscriber,1994,1
175,35:08.6,38:04.0,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29440,Subscriber,1980,1
1267,35:16.8,56:24.5,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,29622,Subscriber,1980,1
361,35:27.2,41:29.1,3185,City Hall,40.7177325,-74.043845,3187,Warren St,40.7211236,-74.03805095,29556,Subscriber,1994,1
247,36:26.1,40:33.9,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42146,Subscriber,1973,1
603,36:37.8,46:41.1,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,42371,Subscriber,1999,1
365,38:15.6,44:21.6,3640,Journal Square,40.73367,-74.0625,3212,Christ Hospital,40.73478582,-74.05044364,42397,Subscriber,1991,2
628,39:23.7,49:52.6,3279,Dixon Mills,40.72163014,-74.04996783,3681,Grand St,40.71517768,-74.03768331,42238,Subscriber,1978,1
755,41:35.6,54:11.0,3199,Newport Pkwy,40.7287448,-74.0321082,3279,Dixon Mills,40.72163014,-74.04996783,42228,Subscriber,1968,1
523,44:45.3,53:28.6,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42474,Subscriber,1990,1
449,48:28.0,55:57.0,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,42309,Subscriber,1982,1
297,50:15.8,55:13.3,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,26257,Subscriber,1963,2
919,51:03.9,06:22.9,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42418,Subscriber,1980,1
608,54:40.2,04:49.1,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,42474,Subscriber,1988,2
710,55:00.0,06:50.3,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,29571,Subscriber,1984,2
40284,56:31.8,07:56.2,3186,Grove St PATH,40.71958612,-74.04311746,3275,Columbus Drive,40.7183552,-74.03891444,26431,Subscriber,1990,2
39517,59:10.0,57:47.2,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42373,Subscriber,1977,1
1035,00:35.6,17:51.3,3186,Grove St PATH,40.71958612,-74.04311746,3184,Paulus Hook,40.7141454,-74.0335519,42394,Subscriber,1960,1
90,02:27.6,03:58.0,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42146,Subscriber,1987,1
236,07:54.1,11:50.4,3275,Columbus Drive,40.7183552,-74.03891444,3276,Marin Light Rail,40.71458404,-74.04281706,26294,Subscriber,1983,2
658,09:02.9,20:01.1,3206,Hilltop,40.7311689,-74.0575736,3186,Grove St PATH,40.71958612,-74.04311746,42448,Subscriber,1987,1
822,13:02.7,26:44.8,3195,Sip Ave,40.7308971,-74.06391263,3206,Hilltop,40.7311689,-74.0575736,42307,Subscriber,1968,1
