tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
127,18:33.7,20:41.2,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,29677,Subscriber,1989,1
232,21:51.5,25:43.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26221,Subscriber,1990,1
196,24:12.6,27:29.2,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.7177325,-74.043845,26170,Subscriber,1989,1
196,25:02.8,28:19.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3209,Brunswick St,40.7241765,-74.0506564,29661,Subscriber,1984,1
119,25:03.6,27:03.0,3273,Manila & 1st,40.72165072,-74.04288411,3272,Jersey & 3rd,40.72333159,-74.04595256,29472,Subscriber,1983,1
570,25:05.3,34:36.0,3279,Dixon Mills,40.72163014,-74.04996783,3681,Grand St,40.71517768,-74.03768331,29120,Subscriber,1978,1
1049,26:42.8,44:12.5,3211,Newark Ave,40.72152515,-74.04630454,3694,Jackson Square,40.71113,-74.0789,26194,Customer,1969,0
231,29:21.7,33:13.4,3211,Newark Ave,40.72152515,-74.04630454,3269,Brunswick & 6th,40.72601173,-74.05038893,26272,Subscriber,1988,2
203,34:17.8,37:40.8,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,29547,Subscriber,1983,1
162,36:03.5,38:45.9,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,29472,Subscriber,1983,1
241,36:54.4,40:56.0,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,26212,Subscriber,1973,1
215,38:51.5,42:26.7,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,29504,Subscriber,1958,1
190,46:56.1,50:06.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3214,Essex Light Rail,40.7127742,-74.0364857,29455,Subscriber,1989,1
202,47:59.5,51:21.5,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,29578,Subscriber,1984,2
186,50:00.5,53:07.0,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,29595,Subscriber,1968,1
348,52:10.7,57:58.9,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,26232,Subscriber,1981,1
146,54:38.3,57:05.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,26250,Subscriber,1989,1
175,55:59.5,58:55.0,3678,Fairmount Ave,40.72572614,-74.07195926,3193,Lincoln Park,40.7246051,-74.07840595,26258,Subscriber,1979,1
717,56:00.1,07:57.4,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3639,Harborside,40.7192517,-74.034234,29283,Subscriber,1976,1
613,59:59.6,10:12.7,3211,Newark Ave,40.72152515,-74.04630454,3268,Lafayette Park,40.71346383,-74.06285852,29449,Subscriber,1965,2
673,01:23.2,12:36.3,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,29672,Subscriber,1953,2
221,01:28.3,05:09.9,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,29262,Subscriber,1980,1
205,02:29.7,05:55.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3213,Van Vorst Park,40.71848892,-74.04772663,29595,Subscriber,1968,1
878,06:28.6,21:07.2,3210,Pershing Field,40.74267714,-74.05178863,3212,Christ Hospital,40.73478582,-74.05044364,29289,Subscriber,1983,1
527,07:12.1,15:59.6,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,29255,Subscriber,1991,1
80,09:19.7,10:40.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,26311,Subscriber,1993,1
400,09:35.6,16:15.7,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,26237,Subscriber,1989,1
232,11:33.7,15:26.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3209,Brunswick St,40.7241765,-74.0506564,29604,Subscriber,1962,1
445,12:37.2,20:03.1,3278,Monmouth and 6th,40.72568548,-74.04879034,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,29485,Subscriber,1984,1
236,15:41.9,19:38.9,3275,Columbus Drive,40.7183552,-74.03891444,3681,Grand St,40.71517768,-74.03768331,29260,Subscriber,1994,1
129,19:06.9,21:16.0,3269,Brunswick & 6th,40.72601173,-74.05038893,3269,Brunswick & 6th,40.72601173,-74.05038893,26272,Subscriber,1991,1
214,20:02.1,23:36.9,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,29600,Subscriber,1984,2
265,20:50.1,25:15.7,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,26182,Subscriber,1986,1
216,21:40.3,25:16.3,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,26280,Subscriber,1981,1
1076,21:54.4,39:51.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3210,Pershing Field,40.74267714,-74.05178863,29659,Subscriber,1991,1
131,23:48.0,25:59.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,29451,Subscriber,1981,2
222,25:48.6,29:31.0,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29458,Subscriber,1994,1
362,27:16.0,33:18.9,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,29526,Subscriber,1988,1
182,28:18.1,31:20.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3214,Essex Light Rail,40.7127742,-74.0364857,29294,Subscriber,1954,2
